line_content,fs_filename,fs_type,tp_filename,tp_type,tp_comment,line_type,unique_id
#### sys: macos,,,,File,,formatting,112
,,,,File,,formatting,113
- **.IdentityService (ƒ)**,.IdentityService,Folder,.IdentityService,Folder,,data,114
- **.Trash (ƒ)**,.Trash,Folder,.Trash,Folder,,data,115
- .DS_Store,.DS_Store,File,.DS_Store,File,,data,116
- .CFUserTextEncoding | macOS - stores the user’s preferred text encoding settings,.CFUserTextEncoding,File,.CFUserTextEncoding,File,macOS - stores the user’s preferred text encoding settings,data,117
,,,,File,,formatting,118
#### sys: unix,,,,File,,formatting,119
,,,,File,,formatting,120
- .netrc | Unix file stores login & init info for connecting to remote systems,.netrc,File,.netrc,File,Unix file stores login & init info for connecting to remote systems,data,121
- **.ssh | Unix SSH configuration files (ƒ)**,.ssh,Folder,.ssh,Folder,Unix SSH configuration files,data,122
- **.fontconfig | Unix font configuration (ƒ)**,.fontconfig,Folder,.fontconfig,Folder,Unix font configuration,data,123
- **.thumbnails | Thumbnail cache (ƒ)**,.thumbnails,Folder,.thumbnails,Folder,Thumbnail cache,data,124
- .lesshst | command history file for the Unix less text viewer command,.lesshst,File,.lesshst,File,command history file for the Unix less text viewer command,data,125
- **.cups | Common Unix Printing System (ƒ)**,.cups,Folder,.cups,Folder,Common Unix Printing System,data,126
,,,,File,,formatting,127
### Applications,,,,File,,formatting,128
,,,,File,,formatting,129
#### apps: regular,,,,File,,formatting,130
,,,,File,,formatting,131
- **.Xencelabs | Xencelabs dedicated controller config (ƒ)**,.Xencelabs,Folder,.Xencelabs,Folder,Xencelabs dedicated controller config,data,132
- **.adobe (ƒ)**,.adobe,Folder,.adobe,Folder,,data,133
,,,,File,,formatting,134
#### apps: cloud,,,,File,,formatting,135
,,,,File,,formatting,136
- **.dropbox (ƒ)**,.dropbox,Folder,.dropbox,Folder,,data,137
- **.pcloud (ƒ)**,.pcloud,Folder,.pcloud,Folder,,data,138
,,,,File,,formatting,139
### Other,,,,File,,formatting,140
,,,,File,,formatting,141
#### oth: user utilities,,,,File,,formatting,142
,,,,File,,formatting,143
- .test_file_name_in_template,,,.test_file_name_in_template,File,,data,144
- **.test_folder | comments are here (ƒ)**,,,.test_folder,Folder,comments are here,data,145
,,,,File,,formatting,146
#### oth: projects,,,,File,,formatting,147
,,,,File,,formatting,148
- **.omniboard | Omniboard project management tool (ƒ)**,.omniboard,Folder,.omniboard,Folder,Omniboard project management tool,data,149
